Log_Reg_L1	Log_Reg_L2	Log_Reg_EN	Random_Forest	K_nearest_Neighbors	SVC
0.9649122807017544	0.9649122807017544	0.9649122807017544	0.9649122807017544	0.9649122807017544	0.9649122807017544
0.9473684210526315	0.9473684210526315	0.9473684210526315	0.9473684210526315	0.9473684210526315	0.9473684210526315
0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771
0.9912280701754386	0.9912280701754386	0.9912280701754386	0.9912280701754386	0.9912280701754386	0.9912280701754386
0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158
0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158
0.9649122807017544	0.9649122807017544	0.9649122807017544	0.9649122807017544	0.9649122807017544	0.9649122807017544
0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771
0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771	0.9824561403508771
0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158	0.9736842105263158
